math;gender;ethnicity;bmi;siblings;income;momeduc;momwork;school;schoolissues;tvmfb;tvmfa;tvsat;tvsun;computer
86.94737;male;white;17.71;1;95000;12 yrs;>= 35h;other private;0;0;0;2;2;1
108.5894;male;white;15.41;1;40000;12 yrs;<35h;public;1;1;3;4;4;1
94.32025;female;white;24.11;1;75000;college;<35h;public;0;0;1;4;4;1
108.5699;female;white;18.56;2;30000;12 yrs;<35h;public;1;1;1;2;2;1
96.58172;female;white;17.21;1;60000;12 yrs;>= 35h;public;1;2;1;5;5;1
103.1813;female;white;15.75;2;62000;college;<35h;other private;1;1;0;0;0;1
98.4833;male;white;15.86;1;40000;college;<35h;public;0;0;1;3;3;1
106.396;female;white;17.2;1;58000;college;>= 35h;public;0;1;1;3;2;1
106.6149;male;white;16.95;2;70000;college;<35h;public;0;1;1;4;4;1
104.8592;male;white;22.24;2;75000;college;>= 35h;public;1;1;0;3;2;1
108.8715;female;white;16.58;2;60000;some college;>= 35h;public;1;0;0;1;0;1
94.50506;female;white;27.25;0;55000;12 yrs;>= 35h;public;1;0;0;2;0;1
103.3369;female;white;18.77;2;48000;college;<35h;public;0;0;0;2;0;1
109.1341;male;white;17.1;0;60000;12 yrs;>= 35h;public;1;0;1;0;1;1
98.62434;male;white;15.3;2;200000;some college;<35h;catholic;0;1;1;2;2;1
78.4462;female;white;21.3;3;38000;some college;>= 35h;public;0;0;0;0;0;1
88.61551;male;white;20.41;1;55000;college;>= 35h;public;0;0;2;4;2;1
80.32832;male;white;27.86;2;35000;12 yrs;no work;public;1;0;1;3;2;1
96.10511;female;white;19.55;1;60000;college;<35h;public;0;0;1;2;3;1
107.0526;male;white;25.84;0;60000;some college;>= 35h;public;0;1;1;2;2;1
108.4775;male;white;19.16;3;60000;college;>= 35h;public;0;1;2;2;2;1
108.2733;male;white;27.53;1;32000;some college;no work;public;1;1;1;2;2;1
108.7402;male;white;20.39;1;50000;some college;<35h;public;1;1;2;4;4;1
87.78873;female;white;16.33;1;80000;college;>= 35h;catholic;0;0;0;2;0;1
110.6904;male;white;21.15;1;110000;college;no work;public;0;0;1;2;1;1
99.85477;male;white;18.82;4;50000;college;<35h;other private;1;0;0;0;2;1
93.02659;male;white;17.97;1;33000;some college;>= 35h;other private;1;1;1;3;3;1
101.1338;female;white;16.69;1;55000;12 yrs;>= 35h;public;1;1;1;8;5;1
96.59145;female;white;16.41;2;70000;12 yrs;<35h;catholic;0;1;1;2;3;1
102.7387;female;white;19.14;1;45000;college;>= 35h;catholic;1;0;1;2;2;1
108.0544;female;white;30.45;2;50000;some college;no work;public;0;0;1;3;3;1
113.944;male;white;15.29;2;200000;college;>= 35h;public;1;0;1;2;1;1
98.15259;male;white;18.38;1;72000;12 yrs;>= 35h;catholic;0;1;1;3;3;1
112.7476;female;white;18.25;2;500000;college;no work;public;1;1;0;3;3;1
100.5843;female;white;17.65;3;35000;12 yrs;no work;public;1;0;1;2;2;1
96.23155;female;white;18.5;4;100000;college;>= 35h;catholic;0;0;0;2;2;1
103.4877;female;white;21.69;3;70000;some college;>= 35h;public;1;0;1;0;1;1
106.8386;male;white;23.87;0;55000;12 yrs;>= 35h;public;1;0;1;3;2;1
108.7158;female;white;23.22;1;60000;college;>= 35h;other private;0;0;0;2;0;1
104.1248;female;white;28.12;0;31000;12 yrs;<35h;public;0;1;1;4;2;1
104.4993;male;white;20.47;0;47000;college;<35h;public;1;0;1;1;3;1
112.2612;male;white;15.86;2;75000;college;no work;public;1;0;1;5;5;1
83.64514;male;white;15.36;1;70000;12 yrs;no work;public;0;0;0;1;1;1
95.46314;male;white;20.58;0;40000;some college;>= 35h;public;1;1;1;3;3;1
103.9546;female;white;20.26;2;80000;college;no work;public;1;0;2;4;2;1
93.85336;female;white;20.98;4;7000;some college;<35h;public;1;1;2;4;2;1
89.19911;female;white;15.78;0;35000;12 yrs;no work;public;0;0;1;2;2;1
104.2464;female;white;32.69;0;80000;12 yrs;<35h;public;1;0;2;2;3;1
103.512;female;white;37.4;1;32000;9-11 yrs;>= 35h;public;1;2;1;4;4;1
110.6077;female;white;24.36;1;30000;some college;>= 35h;public;1;1;2;2;2;1
101.0901;male;white;20.27;1;50000;college;>= 35h;public;1;0;1;2;2;1
84.80263;female;white;23.21;2;53000;some college;>= 35h;public;0;1;1;3;2;1
106.3085;female;white;18.59;1;112000;college;no work;public;0;0;1;1;1;1
101.6396;male;white;16.2;1;67000;college;>= 35h;public;1;0;2;3;3;1
98.06505;male;white;19.23;1;150000;college;>= 35h;other private;0;1;1;2;2;1
106.9261;male;white;22.68;2;79000;12 yrs;<35h;public;0;1;1;7;7;1
99.92772;female;white;18.63;1;60000;college;>= 35h;public;1;0;1;2;2;1
106.075;female;white;20.4;1;55000;some college;<35h;public;0;1;1;0;0;1
95.88625;male;white;17.63;4;60000;some college;>= 35h;public;1;0;1;2;2;1
103.4342;female;white;22.91;1;130000;college;<35h;catholic;0;0;1;3;3;1
109.7517;female;white;21.98;0;22000;college;<35h;public;1;1;1;0;1;1
82.43417;female;white;26.29;1;50000;12 yrs;>= 35h;public;0;0;2;3;3;1
109.8344;female;white;15.06;1;150000;college;>= 35h;public;1;1;1;1;1;1
101.6202;female;white;16.59;1;60000;12 yrs;<35h;public;1;0;0;0;1;1
108.3122;male;white;16.53;2;100000;college;>= 35h;public;0;1;0;0;0;1
104.0178;female;white;23.31;2;31000;some college;<35h;public;0;1;1;1;0;1
111.7165;male;white;25.4;0;135000;some college;>= 35h;other private;0;1;0;2;0;1
108.0301;female;white;20.05;1;40000;college;>= 35h;catholic;0;0;0;2;1;1
110.0581;male;white;15.89;1;41000;college;<35h;public;1;0;0;1;1;1
103.5947;male;white;22.15;2;40000;12 yrs;no work;catholic;1;0;1;2;2;1
116.6869;female;white;16.81;1;150000;college;<35h;public;0;1;1;2;2;1
86.10601;male;white;20.65;0;42000;some college;>= 35h;other private;0;1;2;2;2;1
102.0238;female;white;27.11;3;19000;9-11 yrs;>= 35h;public;1;1;1;1;2;1
98.55624;female;white;20.49;0;36000;some college;>= 35h;public;0;0;1;3;3;1
105.0099;male;white;16.09;1;100000;some college;>= 35h;public;0;0;0;4;4;1
94.07222;female;white;25.67;1;55000;12 yrs;>= 35h;public;0;1;1;2;2;1
89.02403;male;white;18.37;3;60000;12 yrs;<35h;public;0;2;2;6;6;1
106.7121;male;white;21;2;68000;some college;>= 35h;public;1;1;1;2;2;1
105.1364;female;white;17.34;1;65000;some college;<35h;public;1;1;1;3;3;1
106.9553;male;white;21.09;3;40;college;<35h;public;0;0;2;3;3;1
98.46384;female;white;18.93;1;60000;12 yrs;>= 35h;public;1;0;1;4;5;1
110.418;male;white;26.64;0;50000;some college;<35h;catholic;1;1;1;2;2;1
108.0058;male;white;18.39;1;37500;college;>= 35h;public;1;0;1;2;2;1
103.1619;male;white;16.58;2;27000;12 yrs;>= 35h;public;1;1;2;3;3;1
108.9006;male;white;19.89;1;125000;12 yrs;<35h;catholic;0;0;0;1;1;1
108.9006;male;white;17.19;2;60000;college;no work;public;1;0;0;2;2;1
92.83692;male;white;22.46;1;25000;12 yrs;no work;catholic;0;1;1;5;5;1
